file,folder,time_s,channel,members,n_channels,score,polarity,prominence,l1_sharpness
S01_009_EEG_01.edf,,687.416,C3,F8@687.408:23.3;F7@687.412:28.9;T7@687.412:30.7;C3@687.416:35.2;O2@687.416:25.3;P8@687.440:33.0,6,0.118755,1,13.0834,10.6739
S01_009_EEG_01.edf,,687.492,P3,P3@687.492:31.3;T8@687.516:19.7,2,0.228088,-1,16.6006,6.6838
S01_009_EEG_01.edf,,687.576,F7,C4@687.576:29.6;F7@687.576:34.9;FP1@687.576:29.6;P4@687.576:29.0,4,0.575448,-1,22.9055,6.7435
S01_009_EEG_01.edf,,687.78,FP1,O2@687.720:43.6;P8@687.720:46.3;F7@687.752:71.5;T8@687.756:74.4;F3@687.760:52.5;P7@687.760:73.4;T7@687.760:56.5;F8@687.764:30.1;FP1@687.780:249.6;FP2@687.780:198.1;P3@687.784:58.0;C3@687.788:51.5;C4@687.800:66.7;P4@687.800:74.2;PZ@687.840:67.1,15,0.998575,1,66.6158,8.9143
S01_009_EEG_01.edf,,687.944,FP1,T7@687.920:76.7;FP1@687.944:274.9,2,0.996579,-1,66.6158,6.3542
S01_009_EEG_01.edf,,688.088,P4,C3@688.088:27.0;C4@688.088:31.9;F3@688.088:32.3;FZ@688.088:22.6;O2@688.088:25.9;P4@688.088:34.1;P8@688.088:27.2;T8@688.088:22.9;F8@688.092:33.8,9,0.699609,-1,20.487,11.2088
S01_009_EEG_01.edf,,688.224,FP1,FP1@688.224:79.1;T7@688.224:41.1,2,0.001947,1,66.6158,10.0223
S01_009_EEG_01.edf,,688.384,FP1,C4@688.376:28.7;F7@688.376:28.5;O2@688.376:34.3;P4@688.376:30.8;T7@688.376:30.4;FP1@688.384:84.6;PZ@688.400:28.2,7,0.996001,1,66.6158,9.1876
S01_009_EEG_01.edf,,688.476,P7,F4@688.476:21.1;O1@688.476:33.5;P7@688.476:33.6;P3@688.480:27.1,4,0.35549,-1,22.0117,6.2164
S01_009_EEG_01.edf,,688.596,FP1,F3@688.596:21.7;FP1@688.596:42.5;P4@688.600:29.6;C4@688.604:34.8,4,0.980237,1,66.6158,8.8053
S01_009_EEG_01.edf,,688.648,C3,C3@688.648:27.2;T7@688.648:25.7,2,0.011708,1,13.0834,7.5263
S01_009_EEG_01.edf,,688.848,FP1,FP1@688.848:48.0;PZ@688.868:22.7;F3@688.876:21.8;P4@688.876:28.1;O2@688.880:25.0;CZ@688.884:27.7;F4@688.884:26.1;FZ@688.884:25.4;P8@688.884:24.1,9,0.998453,1,66.6158,6.598
S01_009_EEG_01.edf,,689.148,P3,F7@689.124:34.0;O1@689.148:22.6;P3@689.148:34.1;FP1@689.152:27.9;PZ@689.152:30.9,5,0.017252,1,11.859,10.4838
S01_009_EEG_01.edf,,689.248,P4,C4@689.244:27.5;CZ@689.248:22.7;F3@689.248:20.5;FZ@689.248:22.7;O2@689.248:25.8;P4@689.248:31.3;FP2@689.268:18.9,7,0.09763,1,15.6074,9.6719
S01_009_EEG_01.edf,,689.552,C4,FP1@689.544:19.7;C4@689.552:29.2;F3@689.552:19.6;P4@689.552:28.3;C3@689.556:23.7;T8@689.556:21.5;P3@689.560:26.3;PZ@689.568:15.1;P8@689.584:22.1,9,0.130896,-1,10.9987,9.1437
S01_009_EEG_01.edf,,689.828,P4,C4@689.824:29.1;P4@689.828:29.2;FP1@689.856:24.5,3,0.046642,-1,9.0602,6.0117
S01_009_EEG_01.edf,,689.888,P7,FZ@689.852:24.6;P7@689.888:25.0,2,0.202499,1,6.8197,6.4665
S01_009_EEG_01.edf,,689.952,P8,P8@689.952:30.8;T8@689.956:23.7,2,0.041237,1,9.7286,7.2245
S01_009_EEG_01.edf,,690.116,P4,FZ@690.072:16.2;P4@690.116:26.7;F7@690.120:15.0;C4@690.144:20.0,4,0.034616,1,8.6739,8.0515
S01_009_EEG_01.edf,,690.4,P8,O2@690.296:29.6;P4@690.300:29.4;F4@690.324:22.6;P3@690.336:18.5;O1@690.364:25.6;C4@690.368:29.0;T8@690.372:29.1;F3@690.400:22.3;F7@690.400:28.8;FP1@690.400:30.5;P8@690.400:38.0;T7@690.400:22.9;FZ@690.436:24.3;O2@690.460:32.0;P4@690.460:29.9;FP2@690.484:24.1;C3@690.504:28.8;P3@690.508:27.1;PZ@690.516:21.4,16,0.019205,-1,9.7286,11.3398
S01_009_EEG_01.edf,,690.612,P8,T7@690.560:25.4;T8@690.572:30.1;CZ@690.580:28.5;P8@690.612:33.5;C4@690.640:25.3;P4@690.640:28.5;O2@690.644:27.6;F3@690.672:27.5;C3@690.684:26.9;F4@690.696:24.1;FZ@690.700:26.9;T8@690.748:24.6,11,0.076237,-1,9.7286,8.0397
S01_009_EEG_01.edf,,690.832,F3,F3@690.832:27.5;P8@690.832:25.9,2,0.037363,1,7.5408,6.2602
S01_009_EEG_01.edf,,690.964,O2,P3@690.900:29.1;F7@690.920:25.9;FZ@690.964:20.8;O2@690.964:31.0;P4@690.968:27.9;PZ@690.968:27.8,6,0.019867,1,10.3031,6.7798
S01_009_EEG_01.edf,,691.06,P3,O1@691.060:31.6;P3@691.060:37.9;F8@691.064:24.4;FP1@691.064:31.4;FP2@691.064:28.4;F7@691.092:26.1;T7@691.120:22.4;P7@691.156:30.8,8,0.055048,1,9.2666,9.2601
S01_009_EEG_01.edf,,691.316,O1,C3@691.280:21.7;FZ@691.312:26.5;O1@691.316:35.7;P3@691.320:29.1;C4@691.328:26.6,5,0.091497,1,11.0988,6.5977
S01_009_EEG_01.edf,,691.48,O1,O2@691.476:42.1;P4@691.476:37.7;P8@691.476:25.5;C4@691.480:26.6;F3@691.480:28.1;FP1@691.480:33.8;FP2@691.480:40.2;FZ@691.480:32.2;O1@691.480:46.9;P3@691.480:35.1;CZ@691.484:21.1;F8@691.484:38.2;P7@691.488:38.3;F4@691.520:25.3,14,0.034025,1,11.0988,10.2615
S01_009_EEG_01.edf,,691.644,O2,C4@691.636:24.3;C3@691.640:17.2;P4@691.640:39.0;O2@691.644:44.7;P8@691.644:37.2;CZ@691.656:25.7;FZ@691.656:26.4;F4@691.696:28.6;P7@691.700:39.4,9,0.134821,1,10.2238,8.6357
S01_009_EEG_01.edf,,691.904,O1,FP2@691.788:34.5;PZ@691.812:22.6;F8@691.816:26.3;P3@691.820:30.2;P4@691.820:31.3;F3@691.824:30.2;CZ@691.832:29.8;FP1@691.872:35.3;F4@691.876:29.0;FZ@691.876:33.2;O2@691.876:34.3;P7@691.876:34.6;P8@691.876:35.2;O1@691.904:37.8,14,0.001604,1,13.4389,7.779
S01_009_EEG_01.edf,,692.1,T8,T7@692.064:21.0;T8@692.100:26.5,2,0.330658,1,14.5475,7.1687
